product_name,product_category,review,rating,net_profit,units_sold,purchase_date,region
4K Action Camera,Electronics,"Video quality is stunning, but the battery life is a huge letdown. Dies way too fast.",3,120,80,2024-07-01,West
Standing Desk,Furniture,"Game changer for my home office. Very sturdy and the motor is quiet. Love it.",5,180,50,2024-07-02,North
Air Purifier,Home Goods,"It's very quiet on the low setting. I've noticed less dust in my room.",4,80,110,2024-07-03,East
Electric Kettle,Kitchen,"Heats up water incredibly fast. The auto shut-off is a great safety feature.",5,25,200,2024-07-04,South
Robot Vacuum,Home Goods,"It gets stuck on my rugs constantly. I have to rescue it multiple times a day.",2,150,40,2024-07-05,West
Smartwatch,Wearables,"The screen is bright and responsive. Fitness tracking seems accurate enough for my needs.",5,55,150,2024-07-06,North
Wireless Earbuds,Audio,"The left earbud died after a month. Very disappointed with the build quality.",1,20,25,2024-07-07,East
Blender,Kitchen,"Makes amazing smoothies. Crushes ice and frozen fruit with no problem at all.",5,45,130,2024-07-08,South
Gaming Mouse,Accessories,"The customizable buttons are a huge plus for MMOs. The sensor is incredibly accurate.",5,30,90,2024-07-09,West
LED Desk Lamp,Furniture,"The adjustable brightness and color temperature are great features. Perfect for my desk.",5,20,180,2024-07-10,North
Bluetooth Speaker,Audio,"The sound is tinny and lacks any real bass. Not great for music.",2,15,60,2024-07-11,East
Coffee Maker,Kitchen,"It makes a decent cup of coffee, but the carafe drips everywhere when I pour.",3,35,100,2024-07-12,South
External SSD,Electronics,"So small and fast. Transferred a huge video file in seconds. A must-have.",5,85,70,2024-07-13,West
Noise Cancelling Headphones,Audio,"The noise cancellation is top-notch. It completely blocks out the noise of my commute.",5,70,120,2024-07-14,North
Portable Charger,Accessories,"It's much heavier than I expected. Not really pocket-friendly.",3,18,150,2024-07-15,East
Smart Scale,Home Goods,"The app is clunky and often fails to sync. The scale itself seems accurate though.",3,28,90,2024-07-16,South
Webcam,Accessories,"The picture quality is grainy and dark, even in a well-lit room. My laptop's camera is better.",2,10,45,2024-07-17,West
Mechanical Keyboard,Accessories,"The tactile feedback from the keys is so satisfying. Typing has become a joy.",5,48,100,2024-07-18,North
Air Fryer,Kitchen,"I use this for everything now. It makes food crispy and delicious with so little oil.",5,60,140,2024-07-19,East
Monitor Stand,Accessories,"It's a simple stand, but it raised my monitor to the perfect eye level. No more neck pain.",5,22,160,2024-07-20,South
Tablet,Electronics,"The battery life is abysmal. I have to charge it twice a day with normal use.",1,90,30,2024-07-21,West
Wireless Mouse,Accessories,"The connection keeps dropping. It's completely unreliable for any serious work.",2,8,35,2024-07-22,North
Smart Plug,Home Goods,"So convenient to be able to turn my lamp on and off with my voice. Easy to set up.",5,12,300,2024-07-23,East
Electric Toothbrush,Home Goods,"My teeth have never felt cleaner. The different modes are a great feature.",5,40,110,2024-07-24,South
Gaming Headset,Audio,"The microphone makes my voice sound muffled and distant according to my friends.",2,30,50,2024-07-25,West
Laptop Sleeve,Accessories,"The padding is thick and feels very protective. The extra pocket is useful too.",5,15,250,2024-07-26,North
Projector,Electronics,"The image is surprisingly bright and clear, even with some ambient light.",4,150,60,2024-07-27,East
Standing Desk Mat,Furniture,"This mat makes a huge difference. I can stand for hours without my feet hurting.",5,25,130,2024-07-28,South
USB-C Hub,Accessories,"It gets dangerously hot when I have a few things plugged in. I'm afraid to use it.",1,12,20,2024-07-29,West
Water Bottle,Kitchen,"It keeps my water cold all day long. The wide mouth makes it easy to clean.",5,18,400,2024-07-30,North
4K Action Camera,Electronics,"The waterproof case leaked and destroyed my camera on its first trip to the pool.",1,50,10,2024-07-31,East
Standing Desk,Furniture,"The motor is loud and groans when adjusting the height. A bit annoying.",3,140,30,2024-08-01,South
Air Purifier,Home Goods,"The replacement filters are ridiculously expensive. Almost as much as the unit itself.",2,50,70,2024-08-02,West
Electric Kettle,Kitchen,"The lid mechanism feels flimsy and I'm worried it will break soon.",3,20,150,2024-08-03,North
Robot Vacuum,Home Goods,"It does a surprisingly good job of picking up pet hair. My floors are much cleaner.",5,200,80,2024-08-04,East
Smartwatch,Wearables,"The step tracking seems way off. It's not a reliable fitness tracker.",2,35,60,2024-08-05,South
Wireless Earbuds,Audio,"The sound is well-balanced and clear. Great for all genres of music.",5,45,200,2024-08-06,West
Blender,Kitchen,"It started leaking from the bottom after a few uses. A complete mess.",1,15,20,2024-08-07,North
Gaming Mouse,Accessories,"The mouse is too small for my hands. It's very uncomfortable to use.",2,20,50,2024-08-08,East
LED Desk Lamp,Furniture,"The base is not heavy enough, so the lamp tips over easily.",3,15,120,2024-08-09,South
Bluetooth Speaker,Audio,"The battery life is amazing. It played music for my entire 8-hour shift.",5,28,140,2024-08-10,West
Coffee Maker,Kitchen,"It brews coffee way too slowly. My old machine was twice as fast.",2,25,80,2024-08-11,North
External SSD,Electronics,"The drive failed after two months. I lost a lot of important work files.",1,30,15,2024-08-12,East
Noise Cancelling Headphones,Audio,"They're a bit tight on my head, but the sound quality and ANC are worth it.",4,65,110,2024-08-13,South
Portable Charger,Accessories,"Charges my phone super fast. The pass-through charging is a great feature.",5,24,280,2024-08-14,West
Smart Scale,Home Goods,"The app provides a lot of useful data beyond just weight. Very insightful.",5,35,120,2024-08-15,North
Webcam,Accessories,"The autofocus is surprisingly fast and accurate. A great camera for streaming.",5,20,80,2024-08-16,East
Mechanical Keyboard,Accessories,"Several keys stopped working after a few weeks. Very poor quality control.",1,18,22,2024-08-17,South
Air Fryer,Kitchen,"The basket is too small. I have to cook in multiple batches for my family.",3,50,100,2024-08-18,West
Monitor Stand,Accessories,"The drawer is a nice touch for keeping my desk organized.",5,24,170,2024-08-19,North
Tablet,Electronics,"The screen is a fingerprint magnet. I have to wipe it constantly.",3,110,80,2024-08-20,East
Wireless Mouse,Accessories,"The silent clicks are a game-changer. I can work without disturbing anyone.",5,18,180,2024-08-21,South
Smart Plug,Home Goods,"The connection to my wifi is very unstable. It disconnects all the time.",2,8,150,2024-08-22,West
Electric Toothbrush,Home Goods,"The brush heads are expensive to replace, but my dentist says my teeth look great.",4,38,100,2024-08-23,North
Gaming Headset,Audio,"The surround sound is incredibly immersive. I can hear exactly where footsteps are coming from.",5,55,110,2024-08-24,East
Laptop Sleeve,Accessories,"The material feels cheap and offers very little real protection.",2,10,200,2024-08-25,South
Projector,Electronics,"The fan is extremely loud and distracting when watching movies.",2,100,30,2024-08-26,West
Standing Desk Mat,Furniture,"It's just a piece of foam. Overpriced for what it is, but it does help.",3,20,110,2024-08-27,North
USB-C Hub,Accessories,"Works perfectly. All the ports are functional and the build quality is solid.",5,25,190,2024-08-28,East
Water Bottle,Kitchen,"The paint started chipping off after a few washes. It looks bad now.",2,12,300,2024-08-29,South
4K Action Camera,Electronics,"The app for the camera is terrible. It's buggy and constantly crashes.",2,90,50,2024-08-30,West
Standing Desk,Furniture,"Assembly was a nightmare. The instructions were unclear and some screws were missing.",2,120,20,2024-08-31,North
Air Purifier,Home Goods,"I'm not sure if it's actually doing anything. My allergies haven't improved.",3,60,90,2024-09-01,East
Electric Kettle,Kitchen,"It looks very stylish on my countertop. The stainless steel finish is beautiful.",5,28,180,2024-09-02,South
Robot Vacuum,Home Goods,"The mapping feature is amazing. It cleans my house in a very efficient pattern.",5,220,90,2024-09-03,West
Smartwatch,Wearables,"The battery lasts for days! I only have to charge it once a week.",5,60,160,2024-09-04,North
Wireless Earbuds,Audio,"They are very comfortable to wear for long periods. I sometimes forget they're in.",5,48,220,2024-09-05,East
Blender,Kitchen,"It struggles to blend harder ingredients like nuts and dates. The motor is weak.",2,30,70,2024-09-06,South
Gaming Mouse,Accessories,"The RGB lighting is subtle and tasteful, not over-the-top like some other gaming mice.",5,32,95,2024-09-07,West
LED Desk Lamp,Furniture,"The arm is not very flexible, so it's hard to position the light exactly where I want it.",3,18,140,2024-09-08,North
Bluetooth Speaker,Audio,"It's waterproof, which is perfect for bringing to the beach or by the pool.",5,30,150,2024-09-09,East
Coffee Maker,Kitchen,"The programmable timer is a great feature. I wake up to the smell of fresh coffee.",5,40,110,2024-09-10,South
External SSD,Electronics,"The rubberized casing makes it feel durable and protected from drops.",5,90,80,2024-09-11,West
Noise Cancelling Headphones,Audio,"The microphone quality for calls is excellent. People say I sound crystal clear.",5,75,130,2024-09-12,North
Portable Charger,Accessories,"The included cable is very short and feels cheap. I use my own instead.",4,20,200,2024-09-13,East
Smart Scale,Home Goods,"It's just a scale. The smart features are not very useful to me.",3,25,80,2024-09-14,South
Webcam,Accessories,"The privacy cover is a great feature for peace of mind. Easy to slide.",5,18,100,2024-09-15,West
Mechanical Keyboard,Accessories,"The keycaps are double-shot PBT, so the legends will never wear off. Great quality.",5,50,110,2024-09-16,North
Air Fryer,Kitchen,"Clean-up is a breeze. The non-stick basket is very easy to wash.",5,65,150,2024-09-17,East
Monitor Stand,Accessories,"The stand is not tall enough. I still have to use a book to raise my monitor.",3,19,140,2024-09-18,South
Tablet,Electronics,"The speakers are surprisingly good. They get loud and sound clear.",4,120,90,2024-09-19,West
Wireless Mouse,Accessories,"The scroll wheel is hyper-fast, which is fantastic for browsing long websites.",5,20,190,2024-09-20,North
Smart Plug,Home Goods,"The app is very intuitive and easy to use. I had it set up in minutes.",5,14,320,2024-09-21,East
Electric Toothbrush,Home Goods,"The pressure sensor is a great feature. It stops me from brushing too hard.",5,42,120,2024-09-22,South
