product_name,product_category,review,sentiment
Wireless Mouse,Accessories,"The scroll wheel is very stiff and difficult to use. My finger gets tired.",Negative
Gaming Headset,Audio,"Incredibly comfortable for long gaming sessions and the sound is crystal clear.",Positive
Laptop Sleeve,Accessories,"It's a laptop sleeve. It does what it's supposed to. Nothing special.",Neutral
Smartwatch,Wearables,"The battery life is a joke. I have to charge it twice a day. Completely unacceptable.",Negative
Portable Charger,Accessories,"A lifesaver for travel. Has a huge capacity and charges my phone multiple times.",Positive
Webcam,Accessories,"The video quality is decent for the price. It works for my daily meetings.",Neutral
Mechanical Keyboard,Accessories,"The spacebar started squeaking loudly after just one week. So annoying.",Negative
LED Monitor,Electronics,"Vibrant colors and sharp text. An excellent monitor for both work and gaming.",Positive
USB-C Hub,Accessories,"It's a hub. It has the ports it advertised and they all seem to work.",Neutral
Ergonomic Mouse,Accessories,"The shape is very strange and I can't get a comfortable grip on it.",Negative
Wireless Earbuds,Audio,"The pairing process is seamless and the connection is very stable. No dropouts.",Positive
Monitor Stand,Accessories,"It's a stand. It holds my monitor at the right height. It's fine.",Neutral
External SSD,Electronics,"The drive failed completely after two months and I lost all of my data.",Negative
Smartphone,Electronics,"The camera is absolutely stunning. The pictures are so crisp and detailed.",Positive
Tablet,Electronics,"The performance is okay for browsing the web, but it struggles with games.",Neutral
Gaming Headset,Audio,"My friends say the microphone makes me sound like I'm underwater.",Negative
Laptop Sleeve,Accessories,"The extra pocket for the charger and mouse is a very thoughtful design feature.",Positive
Smartwatch,Wearables,"It tracks my steps and heart rate. It does the basic things correctly.",Neutral
Portable Charger,Accessories,"It gets incredibly hot while charging. It makes me nervous to leave it unattended.",Negative
Webcam,Accessories,"The privacy shutter is a great feature for peace of mind.",Positive
Mechanical Keyboard,Accessories,"It's a keyboard and it types. The keys are a bit mushy for my taste.",Neutral
LED Monitor,Electronics,"There is a dead pixel right in the center of the screen. So distracting.",Negative
Wireless Mouse,Accessories,"The silent clicks are amazing. I can work late at night without disturbing anyone.",Positive
Bluetooth Speaker,Audio,"It plays music. The sound quality is neither good nor bad.",Neutral
Gaming Keyboard,Accessories,"The software is confusing and poorly designed. I can't figure out how to customize the lighting.",Negative
Laptop Stand,Accessories,"Solid aluminum build. It feels very sturdy and premium.",Positive
Noise Cancelling Headphones,Audio,"The noise cancellation is okay, but it's not as good as the more expensive brands.",Neutral
Smartwatch,Wearables,"The screen is very dim and impossible to read in direct sunlight.",Negative
Portable Charger,Accessories,"It's slim and lightweight, which is perfect for carrying in my pocket.",Positive
Webcam,Accessories,"The camera's field of view is a bit narrow. It feels very zoomed in.",Neutral
Mechanical Keyboard,Accessories,"The keycaps feel cheap and flimsy. They have a greasy texture.",Negative
LED Monitor,Electronics,"The stand is not adjustable at all. You're stuck with one height and angle.",Negative
